,price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path
14736,484.0,24.4,20.1,Unique,unknown,gallery,other,signed,6.0,8.0,France,images_thesis\2294081_1_m.jpg
16717,1090.0,19.7,23.6,Unique,male,independent,oil,signed,5.0,5.0,other,images_thesis\953085_1_m.jpg
4924,1450.0,12.0,16.0,Unique,male,gallery,oil,signed,15.0,4.0,other,images_thesis\2076699_1_m.jpg
406,1852.0,39.4,31.5,Unique,male,gallery,other,signed,1.0,1.0,other,images_thesis\2282026_1_m.jpg
17688,848.0,23.6,31.5,Unique,unknown,gallery,other,signed,5.0,3.0,other,images_thesis\2210248_1_m.jpg
9111,1215.0,31.9,45.7,Unique,male,gallery,acrylic,signed,1.0,9.0,France,images_thesis\2285415_1_m.jpg
20607,1078.0,22.0,18.1,Unique,unknown,gallery,other,signed,6.0,3.0,other,images_thesis\2269064_1_m.jpg
11767,911.0,11.8,15.7,Unique,unknown,gallery,oil,signed,2.0,10.0,France,images_thesis\2328198_1_m.jpg
16487,848.0,19.7,15.7,Unique,unknown,gallery,other,signed,10.0,3.0,other,images_thesis\2200762_1_m.jpg
5199,2733.0,28.7,28.7,Unique,male,gallery,other,signed,3.0,4.0,France,images_thesis\2047356_1_m.jpg
3749,668.0,11.8,15.7,Unique,male,gallery,other,signed,45.0,6.0,other,images_thesis\2227450_1_m.jpg
13171,842.0,27.8,39.6,Unique,male,gallery,oil,signed,3.0,1.0,Ukraine,images_thesis\2260778_1_m.jpg
7310,1687.0,39.4,31.5,Unique,female,gallery,other,signed,6.0,7.0,France,images_thesis\711519_1_m.jpg
13722,3633.0,52.8,39.0,Unique,unknown,gallery,oil,signed,2.0,12.0,France,images_thesis\2334610_1_m.jpg
13958,680.0,24.0,18.0,Unique,female,independent,oil,signed,3.0,6.0,United States,images_thesis\2281279_1_m.jpg
11121,1000.0,36.0,24.0,Unique,male,independent,acrylic,signed,14.0,6.0,United States,images_thesis\587547_1_m.jpg
12769,15183.0,29.9,22.0,Unique,unknown,gallery,other,signed,1.0,4.0,other,images_thesis\2302012_1_m.jpg
2039,800.0,24.0,20.0,Unique,female,gallery,oil,signed,1.0,3.0,United States,images_thesis\2306518_1_m.jpg
15266,2664.0,31.5,31.5,Unique,female,gallery,other,signed,4.0,9.0,Spain,images_thesis\1374297_1_m.jpg
15431,2422.0,27.6,19.7,Unique,male,independent,other,signed,6.0,3.0,other,images_thesis\1520295_1_m.jpg
12714,2551.0,37.4,51.2,Unique,female,gallery,oil,signed,1.0,4.0,other,images_thesis\2175171_1_m.jpg
4633,1150.0,16.0,20.0,Copy,unknown,gallery,other,signed,5.0,4.0,other,images_thesis\2069682_1_m.jpg
2848,850.0,11.8,11.8,Unique,female,gallery,other,signed,6.0,10.0,France,images_thesis\682725_1_m.jpg
