price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path
741.0,7.9,7.9,Unique,female,independent,other,signed,0.0,3.0,France,images_thesis\2324241_1_m.jpg
600.0,31.5,23.6,Unique,female,gallery,acrylic,signed,4.0,1.0,United States,images_thesis\2300927_1_m.jpg
717.0,23.6,16.9,Unique,male,gallery,other,signed,15.0,1.0,Ukraine,images_thesis\2320455_1_m.jpg
1518.0,23.6,23.6,Unique,male,gallery,other,signed,2.0,8.0,France,images_thesis\1903173_1_m.jpg
1300.0,17.7,25.6,Unique,male,gallery,oil,signed,0.0,1.0,Ukraine,images_thesis\2310575_1_m.jpg
2543.0,39.4,39.4,Unique,female,independent,other,signed,13.0,1.0,Spain,images_thesis\2288538_1_m.jpg
2265.0,39.4,23.6,Unique,female,independent,acrylic,signed,4.0,3.0,other,images_thesis\1551570_1_m.jpg
1211.0,31.5,31.5,Unique,male,gallery,other,signed,0.0,7.0,France,images_thesis\2315522_1_m.jpg
626.0,33.1,23.6,Unique,unknown,gallery,other,signed,5.0,1.0,Ukraine,images_thesis\2274890_1_m.jpg
1523.0,28.7,23.2,Unique,male,gallery,oil,signed,97.0,6.0,other,images_thesis\2194566_1_m.jpg
704.0,27.6,39.4,Unique,male,gallery,oil,signed,75.0,6.0,other,images_thesis\2010774_1_m.jpg
545.0,23.6,23.6,Unique,unknown,gallery,other,signed,1.0,9.0,France,images_thesis\2301505_1_m.jpg
5575.0,31.5,31.5,Unique,female,independent,other,signed,1.0,3.0,France,images_thesis\2274867_1_m.jpg
911.0,23.6,28.3,Unique,male,gallery,oil,signed,1.0,6.0,other,images_thesis\2283298_1_m.jpg
840.0,20.0,28.0,Unique,female,gallery,acrylic,signed,1.0,3.0,other,images_thesis\2306240_1_m.jpg
969.0,19.7,19.7,Unique,female,gallery,other,signed,3.0,10.0,France,images_thesis\1572216_1_m.jpg
1822.0,24.4,20.5,Unique,male,gallery,other,signed,48.0,3.0,Spain,images_thesis\2228845_1_m.jpg
547.0,15.7,15.7,Unique,male,independent,other,signed,4.0,1.0,France,images_thesis\2176434_1_m.jpg
1490.0,30.0,40.0,Unique,female,gallery,acrylic,signed,1.0,3.0,other,images_thesis\2306458_1_m.jpg
