,price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path,url
20658,600.0,23.6,15.7,Unique,female,gallery,oil,signed,3.0,1.0,United States,images_thesis\2256135_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2256135/wave-splash
20659,1069.0,17.5,24.8,Unique,male,gallery,other,signed,1.0,2.0,other,images_thesis\2252978_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2252978/luces
20660,1084.0,19.7,19.7,Unique,unknown,gallery,acrylic,signed,3.0,1.0,France,images_thesis\2252362_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2252362/mickey
20661,1084.0,19.7,19.7,Unique,unknown,gallery,acrylic,signed,3.0,1.0,France,images_thesis\2252351_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2252351/conserve-pop
20662,400.0,20.0,16.0,Unique,male,independent,acrylic,signed,1.0,4.0,other,images_thesis\2252019_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2252019/place-within-reach-30
20663,291.0,15.7,11.8,Unique,male,independent,acrylic,signed,1.0,4.0,other,images_thesis\2250489_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2250489/relic-fragment-4
20664,969.0,15.7,15.7,Unique,unknown,gallery,acrylic,signed,3.0,3.0,other,images_thesis\2249353_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2249353/nantai
20665,1375.0,25.2,45.0,Unique,male,gallery,other,signed,4.0,2.0,other,images_thesis\2249204_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2249204/incertidumbre
20666,8600.0,47.2,39.4,Unique,male,gallery,acrylic,not signed,35.0,4.0,other,images_thesis\2248726_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2248726/water-for-the-flock
20667,3512.0,39.4,31.9,Unique,female,gallery,other,signed,1.0,9.0,France,images_thesis\2248596_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2248596/le-portrait-aux-yeux-bleu
20668,4602.0,38.2,51.2,Unique,female,gallery,other,signed,1.0,9.0,France,images_thesis\2248595_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2248595/la-chance-se-provoque
20669,969.0,11.8,15.7,Unique,unknown,gallery,oil,signed,5.0,3.0,other,images_thesis\2248516_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2248516/spark
20670,2882.0,39.4,27.6,Unique,male,independent,acrylic,signed,1.0,4.0,other,images_thesis\2247992_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2247992/new-york-city-silver
20671,460.0,11.8,11.8,Unique,female,gallery,acrylic,signed,1.0,9.0,France,images_thesis\2247827_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2247827/plaisir-a-deux
20672,460.0,11.8,11.8,Unique,female,gallery,acrylic,signed,1.0,9.0,France,images_thesis\2247826_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2247826/passionnement
20673,2208.0,51.2,35.4,Unique,male,gallery,acrylic,signed,1.0,2.0,other,images_thesis\2247654_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2247654/simpleza-y-vida
20674,1332.0,23.6,23.6,Unique,unknown,gallery,acrylic,signed,3.0,1.0,France,images_thesis\2247470_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2247470/chien-rouge
20675,2301.0,31.5,31.5,Unique,unknown,gallery,acrylic,signed,1.0,1.0,France,images_thesis\2247465_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2247465/gold
20676,1084.0,19.7,19.7,Unique,unknown,gallery,acrylic,signed,3.0,1.0,France,images_thesis\2247435_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2247435/here-comes-the-sun
20677,2301.0,31.5,31.5,Unique,unknown,gallery,acrylic,signed,1.0,1.0,France,images_thesis\2247374_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2247374/have-a-break
20678,1332.0,23.6,23.6,Unique,unknown,gallery,acrylic,signed,1.0,1.0,France,images_thesis\2247364_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2247364/summer-vibe
20679,218.0,11.9,9.9,Unique,male,independent,acrylic,signed,6.0,4.0,other,images_thesis\2246479_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2246479/a-quiet-time-1
20680,424.0,11.8,11.8,Unique,male,gallery,other,signed,1.0,9.0,France,images_thesis\2242497_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2242497/le-ciel-est-bleu
20681,2250.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2268993_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2268993/grackle-no-4
20682,2213.0,11.0,8.5,Unique,male,gallery,other,signed,16.0,1.0,United States,images_thesis\2268813_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2268813/liberty-head
20683,2059.0,35.0,27.6,Unique,male,gallery,oil,signed,1.0,5.0,other,images_thesis\2267731_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2267731/portrait
20684,2250.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2267075_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2267075/blackbird
20685,2250.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2267073_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2267073/swallows-in-flight-no-47
20686,2250.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2266967_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2266967/heron-no-29
20687,2250.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2266837_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2266837/herons-in-flight-no-7
20688,2250.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2266835_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2266835/herons-in-flight-no-6
20689,2250.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2266833_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2266833/herons-in-flight-no-5
20690,2250.0,40.0,26.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2266371_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2266371/heron-in-flight
20691,2250.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2266194_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2266194/herons-in-flight-no-3
20692,2250.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2266191_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2266191/heron-in-flight-no-2
20693,2550.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2266006_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2266006/flying-hawk-no-2
20694,2550.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2266005_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2266005/flying-hawks
20695,2050.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2266004_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2266004/two-hawks
20696,872.0,28.0,28.0,Unique,male,gallery,oil,signed,1.0,3.0,other,images_thesis\2265781_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2265781/autumn-melody
20697,2301.0,31.5,23.6,Unique,male,gallery,other,signed,4.0,2.0,other,images_thesis\2264309_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2264309/footprint-x
20698,5813.0,23.6,31.5,Unique,female,gallery,other,signed,1.0,10.0,France,images_thesis\2262823_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2262823/insomnie
20699,1000.0,39.4,23.6,Unique,male,gallery,oil,signed,1.0,2.0,other,images_thesis\2261630_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2261630/sunlit-slopes
20700,16350.0,82.7,248.0,Unique,unknown,independent,other,signed,2.0,6.0,other,images_thesis\2260815_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2260815/berechit-triptyque-n1
20701,1050.0,22.0,30.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2260129_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2260129/autumnal-no-15
20702,1050.0,22.0,30.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2260128_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2260128/autumnal-no-14
20703,1950.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2260126_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2260126/autumnal-no-13
20704,1950.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2260119_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2260119/autumnal-no-12
20705,1950.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2260057_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2260057/autumnal-no-11
20706,1950.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2260039_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2260039/autumnal-no-10
